,id,symbol,price_04-22-21,market_cap_billion(2021),market_cap_rank,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
39,maker,mkr,3982.05,3.579120767,40,4921.2,-19.34118,2021-04-22T07:12:41.260Z,168.36,2257.708,2020-03-16T20:52:36.527Z
40,algorand,algo,1.21,3.551892486,41,3.56,-66.03275,2019-06-20T14:51:19.480Z,0.105336,1048.35553,2020-03-13T02:20:48.438Z
41,dai,dai,1.0,3.48134256,42,1.22,-17.95993,2020-03-13T03:02:50.373Z,0.903243,10.71343,2019-11-25T00:04:18.137Z
42,cdai,cdai,0.02140901,3.328101163,43,0.03159087,-32.32598,2020-10-12T21:29:00.007Z,0.00728854,193.32073,2020-03-18T04:29:40.819Z
43,kusama,ksm,373.06,3.313464113,44,566.41,-34.85682,2021-03-29T12:24:40.358Z,0.876572,41993.34464,2020-01-14T19:20:20.768Z
44,huobi-token,ht,18.13,3.256259721,45,26.75,-32.09788,2021-02-20T00:07:23.060Z,0.90862,1898.89807,2019-01-30T00:00:00.000Z
45,avalanche-2,AVAX,25.34,3.255138169,46,59.4,-57.38546,2021-02-10T22:23:34.616Z,2.8,803.74624,2020-12-31T13:15:21.540Z
46,thorchain,rune,13.55,3.180984352,47,16.76,-19.25401,2021-04-19T01:30:39.985Z,0.00851264,158845.71223,2019-09-28T00:00:00.000Z
47,compound-governance-token,comp,626.39,3.171228514,48,649.54,-3.76596,2021-04-24T00:24:44.663Z,61.32,919.33231,2020-06-18T12:54:32.788Z
48,elrond-erd-2,egld,167.5,2.939289032,49,243.92,-31.44691,2021-04-12T02:24:35.343Z,6.51,2469.92016,2020-10-07T01:44:53.554Z
49,nem,xem,0.307948,2.771532975,50,1.87,-83.56294,2018-01-07T00:00:00.000Z,8.482e-05,362013.69389,2015-09-05T00:00:00.000Z
50,dash,dash,271.06,2.736824414,51,1493.59,-81.89916,2017-12-20T00:00:00.000Z,0.213899,126292.61082,2014-02-14T00:00:00.000Z
51,decred,dcr,204.01,2.621673101,52,247.35,-17.60087,2021-04-17T00:41:14.790Z,0.43154,47129.75048,2016-12-26T00:00:00.000Z
52,matic-network,matic,0.496874,2.567689555,53,0.524696,-6.07898,2021-04-26T08:29:56.437Z,0.00314376,15575.48462,2019-05-10T00:00:00.000Z
53,chiliz,chz,0.454401,2.420412398,54,0.878633,-48.45221,2021-03-13T08:04:21.200Z,0.00410887,10922.87264,2019-09-28T00:00:00.000Z
54,zcash,zec,219.14,2.413115709,55,3191.93,-93.14686,2016-10-29T00:00:00.000Z,19.75,1007.37663,2020-03-13T02:20:55.002Z
55,havven,snx,15.65,2.370789014,56,28.53,-45.39032,2021-02-14T01:12:38.505Z,0.0347864,44691.61864,2019-01-06T00:00:00.000Z
56,celsius-degree-token,cel,6.16,2.358971215,57,7.96,-22.66483,2021-04-09T10:19:25.352Z,0.02620268,23387.16926,2018-12-07T00:00:00.000Z
57,holotoken,hot,0.01305565,2.313034662,58,0.03126682,-58.35068,2021-04-05T16:04:52.608Z,0.0002202,5813.93487,2020-03-13T02:23:01.612Z
58,hedera-hashgraph,hbar,0.283638,2.287531584,59,0.448365,-36.89326,2021-03-15T01:53:34.974Z,0.00986111,2769.3381,2020-01-02T17:30:24.852Z
59,enjincoin,enj,2.39,2.227546246,60,3.94,-39.53138,2021-04-09T12:29:27.777Z,0.01865964,12677.0519,2017-11-12T00:00:00.000Z
60,leo-token,leo,2.28,2.177272018,61,2.35,-3.18628,2021-04-26T00:30:24.897Z,0.799859,184.94728,2019-12-24T15:14:35.376Z
61,blockstack,stx,2.0,2.09887354,62,2.92,-31.68212,2021-04-05T13:34:27.931Z,0.04559639,4273.29049,2020-03-13T02:29:26.415Z
62,amp-token,amp,0.056138,2.048414762,63,0.063758,-11.4238,2021-04-18T21:38:52.903Z,0.00250501,2154.45345,2020-11-04T13:18:12.191Z
63,nexo,nexo,3.55,1.981250449,64,3.83,-7.65518,2021-04-16T02:18:24.343Z,0.04515276,7734.99273,2018-09-13T00:00:00.000Z
64,zilliqa,zil,0.163868,1.947018172,65,0.253957,-35.93371,2021-04-17T06:39:37.521Z,0.00239616,6690.06126,2020-03-13T02:22:55.161Z
65,terrausd,ust,0.998561,1.872454758,66,1.09,-8.66938,2021-01-11T22:30:57.984Z,0.928005,7.46124,2021-01-21T10:19:07.278Z
66,sushi,sushi,12.07,1.845610334,67,23.38,-48.49993,2021-03-13T23:44:36.774Z,0.475381,2432.47061,2020-11-04T14:53:53.560Z
67,near,near,5.06,1.819356362,68,7.56,-33.13824,2021-03-13T17:49:31.011Z,0.526762,859.27777,2020-11-04T16:09:15.137Z
68,fei-protocol,fei,0.891557,1.809266572,69,0.977261,-9.06602,2021-04-04T13:33:59.514Z,0.669435,32.74814,2021-04-18T03:44:09.238Z
69,the-graph,grt,1.47,1.803725512,70,2.84,-48.23008,2021-02-12T07:28:45.775Z,0.103254,1324.68103,2020-12-17T21:28:41.332Z
70,pirate-chain,arrr,9.82,1.800322422,71,16.76,-41.18471,2021-04-23T18:13:27.423Z,0.00797788,123464.561,2020-11-26T02:10:52.806Z
71,digibyte,dgb,0.121388,1.730174025,72,0.170806,-29.06848,2021-04-21T19:44:09.452Z,3.099e-05,390891.16869,2015-01-14T00:00:00.000Z
72,basic-attention-token,bat,1.14,1.693108607,73,1.63,-30.50048,2021-04-09T19:03:22.356Z,0.072394,1466.14354,2017-07-16T00:00:00.000Z
73,waves,waves,16.75,1.679635404,74,20.82,-19.33643,2021-04-09T14:33:17.796Z,0.130878,12733.59621,2016-08-02T00:00:00.000Z
74,siacoin,sc,0.03494522,1.659036018,75,0.092868,-62.45695,2018-01-06T00:00:00.000Z,1.262e-05,276143.78972,2015-12-28T00:00:00.000Z
75,decentraland,mana,1.2,1.587004657,76,1.58,-24.4397,2021-04-17T13:41:03.862Z,0.00923681,12843.85345,2017-10-31T00:00:00.000Z
76,yearn-finance,yfi,43338.0,1.559958641,77,56848.0,-23.98428,2021-04-19T01:29:11.373Z,31.65,136455.58446,2020-07-18T12:26:27.150Z
77,uma,uma,25.82,1.554660399,78,41.56,-37.84466,2021-02-04T11:27:11.433Z,0.303625,8406.94178,2020-04-29T17:00:41.760Z
78,huobi-btc,hbtc,53648.0,1.4957652,79,64731.0,-17.19624,2021-04-14T11:57:00.648Z,11209.02,378.18096,2020-10-12T03:56:16.768Z
79,liquity-usd,lusd,1.02,1.484373557,80,1.16,-12.32988,2021-04-05T14:47:52.665Z,0.952915,6.56823,2021-04-18T03:49:53.759Z
80,bitcoin-gold,btg,83.09,1.456048897,81,456.25,-81.77812,2017-12-20T00:00:00.000Z,4.25,1854.11146,2020-03-13T02:22:52.902Z
81,zencash,zen,126.6,1.385528845,82,137.37,-8.43991,2021-04-17T01:30:25.642Z,3.26,3752.72527,2019-10-17T00:00:00.000Z
82,qtum,qtum,13.31,1.36729943,83,100.22,-86.7998,2018-01-06T00:00:00.000Z,0.783142,1589.31939,2020-03-13T02:22:57.149Z
83,ravencoin,rvn,0.15632,1.340803325,84,0.285218,-45.59155,2021-02-20T11:19:07.791Z,0.00893232,1637.31623,2020-03-13T02:30:00.004Z
84,arweave,ar,30.14,1.321796293,85,34.23,-11.87847,2021-04-01T14:34:05.681Z,0.298788,9994.25009,2020-01-31T06:47:36.543Z
85,harmony,one,0.139462,1.310784199,86,0.222092,-37.2775,2021-03-29T08:19:36.363Z,0.00127355,10838.05192,2020-03-13T02:24:14.005Z
86,ontology,ont,1.54,1.243367893,87,10.92,-85.9763,2018-05-03T01:43:05.844Z,0.23237,559.05499,2020-03-13T02:20:48.548Z
87,0x,zrx,1.5,1.180790929,88,2.5,-40.25686,2018-01-13T00:00:00.000Z,0.120667,1136.25804,2020-03-13T02:27:49.563Z
88,icon,icx,1.96,1.173088764,89,13.16,-85.12281,2018-01-09T00:00:00.000Z,0.107465,1722.45699,2020-01-03T02:14:53.139Z
89,bancor,bnt,6.29,1.170907868,90,10.72,-41.34356,2018-01-09T00:00:00.000Z,0.120935,5097.23961,2020-03-13T02:29:21.245Z
90,paxos-standard,pax,1.0,1.153428465,91,1.13,-11.31287,2018-10-15T07:09:12.459Z,0.908175,10.12225,2020-08-02T04:42:53.812Z
91,wazirx,wrx,2.65,1.153325661,92,5.88,-54.90778,2021-04-05T06:58:37.399Z,0.04757088,5472.36214,2020-02-05T07:19:43.950Z
92,helium,hnt,14.37,1.144226483,93,20.86,-31.19096,2021-04-07T06:49:56.212Z,0.113248,12576.98903,2020-04-18T00:19:10.902Z
93,flow,flow,29.12,1.09492249,94,42.4,-31.3035,2021-04-05T13:49:10.098Z,4.95,488.39115,2021-01-27T15:34:04.000Z
94,reserve-rights-token,rsr,0.08286,1.087571849,95,0.117424,-29.60862,2021-04-16T17:45:02.062Z,0.00121354,6711.13908,2020-03-16T11:09:08.151Z
95,xdce-crowd-sale,xdc,0.089218,1.085491342,96,0.144432,-38.58878,2021-04-15T14:54:04.324Z,0.00039532,22336.96597,2019-07-22T00:00:00.000Z
96,ecomi,omi,0.00616571,1.05005112,97,0.01343572,-54.0589,2021-03-19T17:20:53.999Z,3.37e-06,183008.99163,2019-11-04T10:52:42.729Z
97,nano,nano,7.81,1.037265387,98,33.69,-76.89641,2018-01-02T00:00:00.000Z,0.026179,29635.49608,2017-07-16T00:00:00.000Z
98,swissborg,chsb,1.08,1.027319519,99,1.55,-30.48426,2021-03-11T14:43:28.754Z,0.00502687,21372.50213,2019-07-28T00:00:00.000Z
99,kucoin-shares,kcs,12.83,1.009581823,100,20.17,-36.86057,2018-01-10T00:00:00.000Z,0.342863,3613.89679,2019-02-07T00:00:00.000Z
100,fantom,ftm,0.392963,0.998990395,101,0.844425,-53.44465,2021-02-25T07:58:26.719Z,0.00190227,20566.09604,2020-03-13T02:25:38.280Z
101,ankr,ankr,0.140409,0.978012161,102,0.213513,-34.52804,2021-04-16T19:44:04.474Z,0.00070728,19664.56264,2020-03-13T02:24:03.563Z
102,iostoken,iost,0.052841,0.977761955,103,0.129829,-59.50755,2018-01-24T00:00:00.000Z,0.00160309,3179.34426,2020-03-13T02:25:35.257Z
103,omisego,omg,6.91,0.964641644,104,25.62,-73.15358,2018-01-13T00:00:00.000Z,0.350917,1860.07564,2020-03-13T02:30:10.072Z
104,wink,win,0.00121629,0.929759115,105,0.00289424,-58.07846,2021-04-05T20:24:01.448Z,4.185e-05,2799.51479,2020-03-13T02:23:00.686Z
105,husd,husd,0.997056,0.929365201,106,1.25,-20.2663,2020-03-13T02:40:09.956Z,0.909648,9.98863,2020-03-12T11:05:14.274Z
106,dent,dent,0.00909443,0.860877546,107,0.1006,-90.96831,2018-01-09T00:00:00.000Z,7.065e-05,12760.53992,2020-03-13T02:29:09.754Z
107,pundi-x-2,pundix,3.29,0.829505825,108,10.07,-68.12819,2021-03-31T06:39:32.892Z,1.99,60.88407,2021-04-23T02:34:32.685Z
108,ethos,vgx,3.65,0.810633487,109,12.47,-70.7667,2018-01-06T00:00:00.000Z,0.01689847,21479.78547,2019-12-26T22:10:32.136Z
109,verge,xvg,0.04861417,0.799599389,110,0.261874,-81.45661,2017-12-24T00:00:00.000Z,2.23e-06,2173020.96529,2015-02-06T00:00:00.000Z
110,curve-dao-token,crv,2.72,0.77633632,111,54.01,-94.99924,2020-08-14T04:53:44.010Z,0.331577,714.5073,2020-11-05T13:09:50.181Z
111,pundi-x,npxs,0.00322109,0.760282079,112,0.01446299,-77.77458,2018-05-14T06:15:26.308Z,7.686e-05,4082.42261,2020-03-13T02:07:57.484Z
112,xsushi,xsushi,13.82,0.743756225,113,26.33,-47.50819,2021-03-13T23:01:02.266Z,6.04,128.78461,2021-01-22T01:04:22.350Z
113,republic-protocol,ren,0.845868,0.741581008,114,1.8,-53.24041,2021-02-20T00:17:32.664Z,0.01548,5336.71082,2019-02-25T00:00:00.000Z
114,1inch,1inch,4.47,0.704179642,115,6.63,-32.80781,2021-04-09T11:28:44.882Z,0.767785,480.205,2020-12-29T16:38:53.144Z
115,livepeer,lpt,29.21,0.685276786,116,43.85,-33.59879,2021-04-03T06:14:22.408Z,0.354051,8123.04195,2019-10-26T22:59:09.500Z
116,venus,xvs,70.33,0.673749345,117,98.9,-29.22826,2021-02-19T09:10:56.034Z,1.65,4132.39679,2020-10-06T05:02:54.510Z
117,bmax,btmx,0.895671,0.665142861,118,3.26,-72.54627,2021-03-27T18:14:42.486Z,0.01307461,6739.60013,2018-12-10T00:00:00.000Z
118,nxm,nxm,95.21,0.658750232,119,99.22,-4.10691,2021-04-22T14:57:17.325Z,6.96,1266.47437,2020-07-22T19:54:06.406Z
119,bitcoin-cash-abc-2,bcha,34.59,0.649324247,120,56.71,-38.80244,2021-04-17T16:21:17.480Z,9.21,276.80403,2020-11-15T18:28:32.658Z
120,lisk,lsk,4.46,0.643697822,121,34.92,-87.18413,2018-01-07T00:00:00.000Z,0.101672,4302.22193,2017-03-01T00:00:00.000Z
121,renbtc,renbtc,53457.0,0.637816846,122,64594.0,-17.30217,2021-04-14T11:52:35.016Z,8877.48,501.72094,2020-06-27T19:54:44.712Z
122,vethor-token,vtho,0.01802546,0.625518855,123,0.04671227,-61.43649,2018-08-29T02:40:46.956Z,0.00015238,11722.05611,2020-03-16T10:14:24.544Z
123,staked-ether,steth,2465.92,0.621333977,124,2567.53,-4.00668,2021-04-22T15:01:54.327Z,482.9,410.39028,2020-12-22T04:08:21.854Z
124,oxygen,oxy,3.07,0.618395826,125,4.16,-26.48609,2021-03-16T22:38:50.717Z,1.24,146.98215,2021-03-16T14:03:26.301Z
125,celo,celo,5.93,0.610959736,126,7.09,-16.35168,2021-04-21T02:00:04.867Z,0.800156,641.60601,2020-05-22T04:15:27.736Z
126,loopring,lrc,0.487274,0.606330263,127,2.4,-79.75931,2018-01-09T00:00:00.000Z,0.01963893,2377.8574,2019-12-18T13:14:41.553Z
127,status,SNT,0.153156,0.590951185,128,0.684918,-77.76552,2018-01-03T00:00:00.000Z,0.00592935,2468.3782,2020-03-13T02:10:36.877Z
128,bounce-token,bot,16641.32,0.588177161,129,45200.0,-63.20792,2021-04-20T23:52:44.157Z,94.02,17587.64819,2020-08-06T22:35:43.316Z
129,balancer,bal,52.32,0.563121735,130,71.99,-27.56699,2021-04-15T08:14:26.967Z,6.65,684.41387,2020-06-23T17:05:28.767Z
130,nervos-network,ckb,0.02265174,0.56017433,131,0.04370633,-48.37664,2021-03-31T17:08:59.155Z,0.00248711,807.18368,2020-03-13T02:22:31.662Z
131,tribe-2,tribe,1.48,0.559236915,132,2.45,-39.58319,2021-04-03T23:33:40.147Z,1.04,42.97034,2021-04-20T07:33:25.281Z
132,gatechain-token,gt,3.34,0.555359621,133,4.72,-29.0186,2021-04-11T21:34:50.612Z,0.25754,1201.37983,2020-03-13T02:18:02.481Z
133,mirror-protocol,mir,9.46,0.551977502,134,12.9,-26.89392,2021-04-10T04:24:49.114Z,0.898899,949.42246,2020-12-22T07:49:52.172Z
134,compound-usdt,cusdt,0.02110239,0.541095021,135,0.02202578,-4.32919,2021-02-22T14:37:51.348Z,0.0102836,104.91118,2020-07-04T17:59:08.922Z
135,quant-network,qnt,40.79,0.525067138,136,49.04,-16.82178,2021-02-20T03:19:22.365Z,0.215773,18802.79655,2018-08-23T00:00:00.000Z
136,ocean-protocol,ocean,1.22,0.515817843,137,1.93,-37.26512,2021-04-10T09:24:58.915Z,0.01284832,9323.51601,2019-08-11T00:00:00.000Z
137,zkswap,zks,2.32,0.50282549,138,11.24,-79.43429,2021-02-25T01:17:44.288Z,0.233233,891.44381,2021-01-07T07:00:22.051Z
138,energy-web-token,ewt,15.06,0.499780404,139,22.67,-33.97801,2021-04-17T03:10:00.960Z,0.543628,2653.57864,2020-04-03T00:00:00.000Z
139,serum,srm,9.99,0.494459812,140,10.93,-9.51328,2021-04-26T10:39:12.537Z,0.109876,8900.35122,2020-08-11T13:32:04.611Z
140,btc-standard-hashrate-token,btcst,66.35,0.482952638,141,91.94,-27.91746,2021-04-15T04:14:29.663Z,27.98,136.88115,2021-03-25T12:44:10.849Z
141,raydium,ray,12.83,0.461212707,142,13.65,-6.61362,2021-02-22T20:42:07.897Z,2.92,336.2799,2021-02-21T15:22:04.712Z
142,reef-finance,reef,0.03502065,0.442767613,143,0.05746,-39.16544,2021-03-15T04:19:41.758Z,0.00668142,423.17248,2021-01-13T05:58:48.590Z
143,band-protocol,band,15.05,0.436505415,144,22.83,-34.34774,2021-04-15T12:04:11.270Z,0.203625,7260.54189,2019-11-25T05:49:22.765Z
144,maidsafecoin,maid,0.929759,0.42076476,145,1.37,-32.07292,2021-04-12T14:04:59.247Z,0.011107,8303.2372,2014-05-22T00:00:00.000Z
145,tokamak-network,ton,12.48,0.418490152,146,30.51,-58.78055,2021-04-02T17:44:40.065Z,1.34,840.14129,2020-09-11T20:29:43.246Z
146,compound-uniswap,cuni,0.722778,0.40988989,147,0.791951,-9.43243,2021-04-15T14:04:39.891Z,0.03552288,1919.12253,2020-11-05T08:45:03.205Z
147,nkn,nkn,0.630609,0.407614753,148,1.44,-56.32771,2021-04-09T21:54:46.868Z,0.00667819,9290.26632,2020-03-13T02:22:29.583Z
148,bitcoin-diamond,bcd,2.15,0.403853084,149,147.18,-98.54006,2018-01-13T00:00:00.000Z,0.260892,723.61386,2020-03-13T02:22:31.096Z
149,wootrade-network,woo,0.937254,0.403179882,150,1.1,-15.10755,2021-04-16T00:09:33.667Z,0.02211546,4116.02725,2021-01-04T10:19:13.803Z
150,electroneum,etn,0.02242725,0.401008339,151,0.207854,-89.19667,2018-01-06T00:00:00.000Z,0.00134783,1566.02815,2020-03-13T02:24:21.810Z
151,golem,glm,0.400097,0.399730441,152,1.32,-69.81585,2018-04-13T09:13:22.739Z,0.00913753,4274.60059,2016-12-12T00:00:00.000Z
152,axie-infinity,axs,7.17,0.394626496,153,11.88,-39.90524,2021-04-05T13:44:29.591Z,0.123718,5672.20819,2020-11-06T08:05:43.662Z
153,storm,stmx,0.04645099,0.390102375,154,0.165032,-71.90085,2018-01-05T00:00:00.000Z,0.00057665,7941.74295,2020-03-13T02:24:13.443Z
154,hbtc-token,hbc,20.21,0.388419164,155,25.76,-21.56291,2021-04-12T06:49:03.474Z,2.43,729.86119,2020-10-08T13:04:39.089Z
155,ampleforth,ampl,1.16,0.38484318,156,4.07,-70.71336,2020-07-12T20:49:38.893Z,0.155869,664.0704,2019-10-31T23:34:28.705Z
156,medibloc,med,0.125182,0.376335957,157,0.351852,-63.94308,2021-04-02T04:29:08.791Z,0.00161437,7758.59826,2020-03-13T02:20:18.722Z
157,audius,audio,2.39,0.374001524,158,4.95,-50.78704,2021-03-27T15:45:35.137Z,0.0437371,5475.12263,2020-10-23T14:56:23.999Z
158,kyber-network,kncl,2.69,0.370885179,159,5.8,-53.76575,2018-01-09T00:00:00.000Z,0.116184,2208.59478,2019-02-06T00:00:00.000Z
159,origin-protocol,ogn,1.75,0.368994306,160,3.35,-47.96891,2021-04-08T08:34:23.319Z,0.103356,1587.56458,2020-01-30T16:40:02.103Z
160,singularitynet,agi,0.38143,0.368649301,161,0.95023,-59.87677,2018-01-28T00:00:00.000Z,0.00747159,5002.83575,2020-03-13T02:24:16.528Z
161,telcoin,tel,0.00653685,0.357087873,162,0.00925618,-28.89495,2021-03-12T18:57:13.519Z,6.474e-05,10066.80343,2020-03-13T02:24:47.992Z
162,numeraire,nmr,62.82,0.355432213,163,89.9,-30.21135,2021-04-17T23:55:34.155Z,2.06,2939.31505,2018-11-27T00:00:00.000Z
163,dodo,dodo,3.11,0.355397193,164,8.38,-62.57001,2021-02-20T09:19:28.624Z,0.150827,1978.89477,2020-12-18T16:07:56.702Z
164,ardor,ardr,0.353985,0.353957904,165,2.04,-82.66217,2018-01-13T00:00:00.000Z,0.008745,3951.59972,2016-12-06T00:00:00.000Z
165,mdex,mdx,2.78,0.346563387,166,10.11,-72.58055,2021-02-22T07:08:38.957Z,2.44,13.64073,2021-01-30T03:38:02.898Z
166,kin,kin,0.00022235,0.344617335,167,0.00122572,-81.98944,2018-01-07T00:00:00.000Z,2.39e-06,9128.99932,2020-01-11T14:05:14.714Z
167,skale,skl,0.521548,0.34315118,168,1.22,-57.27932,2021-03-12T05:14:18.439Z,0.060829,754.19355,2020-12-23T22:31:29.345Z
168,alpha-finance,alpha,1.35,0.336532382,169,2.93,-54.0371,2021-02-05T16:37:55.153Z,0.02635756,5004.06035,2020-11-03T04:33:55.723Z
169,alien-worlds,tlm,0.266383,0.329998133,170,7.16,-96.28309,2021-04-11T06:36:48.412Z,0.199118,33.60245,2021-04-24T11:13:43.251Z
170,civic,cvc,0.493388,0.329195931,171,1.35,-63.57033,2018-01-03T00:00:00.000Z,0.01102541,4356.40801,2020-03-13T02:15:34.328Z
171,the-sandbox,sand,0.478391,0.32747564,172,0.915838,-47.92033,2021-03-28T16:04:16.964Z,0.02897764,1545.97688,2020-11-04T15:59:14.441Z
172,funfair,fun,0.03162368,0.325280294,173,0.191066,-83.46956,2018-01-08T00:00:00.000Z,0.00105506,2893.57051,2020-03-13T02:22:42.216Z
173,redfox-labs-2,rfox,0.239875,0.323075408,174,0.377778,-36.5772,2021-04-09T12:20:41.898Z,0.01152142,1979.58291,2020-10-28T02:58:18.806Z
174,steem,steem,0.844962,0.321753871,175,8.19,-89.6972,2018-01-03T00:00:00.000Z,0.07199,1072.30883,2017-03-11T00:00:00.000Z
175,orion-protocol,orn,12.88,0.318396063,176,29.25,-56.07686,2021-03-22T14:45:01.502Z,0.543143,2265.2793,2020-07-16T14:24:05.394Z
